Country/area,Technology/source,Year,Value_TWh
Estonia,Hydropower,2021,2.2146205453862393e-05
Estonia,Liquid Biofuels,2020,0.0007545509615594016
Estonia,Liquid Biofuels,2021,0.0008851840701825767
Estonia,Pellets,2020,-0.0019753397717237526
Estonia,Pellets,2021,-0.0021250345557004445
Estonia,RenWaste,2020,0.0002906705036120644
Estonia,RenWaste,2021,0.00023884444473686305
Estonia,Solar PV,2020,0.000247875967048128
Estonia,Solar PV,2021,0.0003405412384092461
Estonia,Solid Biofuels,2020,0.016936586385062468
Estonia,Solid Biofuels,2021,0.01676882513255044
Estonia,Wind,2020,0.0008534475965100296
Estonia,Wind,2021,0.0007057899389541303
Finland,Biogas,2020,0.002494440280982235
Finland,Biogas,2021,0.0029184668572627714
Finland,Electricity,2020,0.03541442603904459
Finland,Electricity,2021,0.03882438732958358
Finland,GrandTotal,2020,0.2342361290827054
Finland,GrandTotal,2021,0.26721395287021066
Finland,Heat,2020,0.016602106790222382
Finland,Heat,2021,0.020974806120071184
Finland,Hydropower,2020,0.015597398311551153
Finland,Hydropower,2021,0.015776685281960107
Finland,Liquid Biofuels,2020,0.007942468906813991
Finland,Liquid Biofuels,2021,0.014148820929279897
Finland,Other RE,2020,0.011914662090639192
Finland,Other RE,2021,0.015284164112904241
Finland,Pellets,2020,0.0014164330915926982
Finland,Pellets,2021,0.0018326954940723278
Finland,RenWaste,2020,0.003732007888801658
Finland,RenWaste,2021,0.004011271909672991
Finland,Solar PV,2020,0.0002145379367170312
Finland,Solar PV,2021,0.00029724586837682343
Finland,Solar Thermal,2020,4.6297037039999995e-05
Finland,Solar Thermal,2021,5.092674074399999e-05
Finland,Solid Biofuels,2020,0.13075429899661148
Finland,Solid Biofuels,2021,0.1445955291141297
Finland,Wind,2020,0.008107051715900544
Finland,Wind,2021,0.008498953120507035
France,Biogas,2020,0.012122503860897858
France,Biogas,2021,0.01647487281247161
France,Electricity,2020,0.07773208861423415
France,Electricity,2021,0.07678889649599877
France,Geothermal,2020,0.0036791971803450917
France,Geothermal,2021,0.0037363225090461735
France,GrandTotal,2020,0.4912504539377124
France,GrandTotal,2021,0.537197678475305
France,Heat,2020,0.014615559634141894
France,Heat,2021,0.017488680273329824
France,Hydropower,2020,0.04948170608051295
France,Hydropower,2021,0.0474043742633558
France,Liquid Biofuels,2020,0.056845021932369656
France,Liquid Biofuels,2021,0.0615591480752529
France,Other RE,2020,0.05477628216802244
France,Other RE,2021,0.07152028827770167
France,Pellets,2020,0.01061521866658402
France,Pellets,2021,0.010546828295615105
France,RenWaste,2020,0.009457861976985001
France,RenWaste,2021,0.010494516100211812
France,Solar PV,2020,0.01055785387270895
France,Solar PV,2021,0.012407279281061633
France,Solar Thermal,2020,0.003771087805816654
France,Solar Thermal,2021,0.003913773730739366
France,Solid Biofuels,2020,0.15632589519001863
France,Solid Biofuels,2021,0.1758159016878003
France,Wind,2020,0.03127017689090052
France,Wind,2021,0.029046796733911556
Germany,Biogas,2020,0.07007350987952508
Germany,Biogas,2021,0.07415628207331235
Germany,Charcoal,2020,0.0023778158223743996
Germany,Charcoal,2021,0.002111144889024
Germany,Electricity,2020,0.17330669244435346
Germany,Electricity,2021,0.15967400448998248
Germany,Geothermal,2020,0.0030653626800908806
Germany,Geothermal,2021,0.003357107163370982
Germany,GrandTotal,2020,0.7724644718454087
Germany,GrandTotal,2021,0.7717874839962813
Germany,Heat,2020,0.01637967844709609
Germany,Heat,2021,0.016173867909876887
Germany,Hydropower,2020,0.015364114292014596
Germany,Hydropower,2021,0.016164662548163854
Germany,Liquid Biofuels,2020,0.06950252213705614
Germany,Liquid Biofuels,2021,0.060701675983023784
Germany,Other RE,2020,0.02674610686775987
Germany,Other RE,2021,0.029841526764254268
Germany,Pellets,2020,0.012622763461128252
Germany,Pellets,2021,0.017626960629058254
Germany,RenWaste,2020,0.02981967092845398
Germany,RenWaste,2021,0.030247962879808403
Germany,Solar PV,2020,0.04062081091282981
Germany,Solar PV,2021,0.040572003773900266
Germany,Solar Thermal,2020,0.014834352606406961
Germany,Solar Thermal,2021,0.014072845695616207
Germany,Solid Biofuels,2020,0.18933760208032713
Germany,Solid Biofuels,2021,0.21281367863965736
Germany,Wind,2020,0.10841462668111272
Germany,Wind,2021,0.094273581599946
Greece,Biogas,2020,0.001274861037500965
Greece,Biogas,2021,0.00123195358586652
Greece,Charcoal,2020,0.0007835997288032359
Greece,Charcoal,2021,0.0007668460656861144
Greece,Electricity,2020,0.015305463125104097
Greece,Electricity,2021,0.01701631350124429
Greece,Geothermal,2020,0.00010879803704399999
Greece,Geothermal,2021,8.379763704239999e-05
Greece,GrandTotal,2020,0.0654112398025412
Greece,GrandTotal,2021,0.072207800724829
Greece,Hydropower,2020,0.0030166390603988636
Greece,Hydropower,2021,0.005047109154011997
Greece,Liquid Biofuels,2020,0.004489606563137074
Greece,Liquid Biofuels,2021,0.004798989389194479
Greece,Other RE,2020,0.007495953267146399
Greece,Other RE,2021,0.008521329858160169
Greece,Pellets,2020,0.0006181040292448672
Greece,Pellets,2021,0.0006255331585570407
Greece,Solar PV,2020,0.00401190466346977
Greece,Solar PV,2021,0.00448927107130237
Greece,Solar Thermal,2020,0.00568152608851176
Greece,Solar Thermal,2021,0.005890973884080719
Greece,Solid Biofuels,2020,0.014225306809296545
Greece,Solid Biofuels,2021,0.014773363770175223
Greece,Wind,2020,0.008399477396198497
